Date,Stock,Open,High,Low,Close,Volume
2023-03-01,GOOG,456.48,1328.38,800.04,1393.8,4596574
2023-03-02,GOOG,342.03,336.8,606.36,342.72,1473494
2023-03-03,GOOG,681.49,1795.54,412.82,974.55,3597066
2023-03-04,GOOG,810.28,430.19,804.83,779.1,4679824
2023-03-05,GOOG,424.91,722.28,704.73,664.05,2717716
2023-03-06,GOOG,165.89,1884.84,319.57,1163.33,2073064
2023-03-07,GOOG,359.62,709.92,632.76,810.06,4944981
2023-03-08,GOOG,1070.31,907.84,521.32,1465.98,3032299
2023-03-09,GOOG,1341.94,1406.24,246.83,853.23,4443408
2023-03-10,GOOG,803.07,1504.0,112.47,293.05,4127223
